"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-9.706.616,-34.459.891,-17.359.993,18.851.396,-11.980.393,-38.195.064,20.844.667,Bad"
"-5.555.076,-24.107.435,-15.056.539,79.813.325,-39.610.386,-19.606.298,1.064.953,Bad"
"9.601.383,-33.637.912,-46.255.484,2.603.345,40.643.176,-278.963,22.910.848,Bad"
"3.297.155,-56.901.556,-3.604.717,11.580.602,-32.246.633,-78.687.346,23.867.004,Bad"
"6.103.154,-5.745.665,-19.318.331,1.057.443,-87.091.833,-8.743.515,-15.712.997,Bad"
"-1.081.415,-32.691.953,-28.426.676,55.498.165,-19.397.283,-2.462.294,27.428.508,Bad"
"-21.529.236,-4.589.789,-2.818.504,7.610.812,-51.935.143,86.702.913,15.906.949,Bad"
"-44.634.085,-99.895.716,-23.076.506,1.114.561,-96.052.533,14.386.109,34.530.222,Bad"
"-95.567.673,-17.376.852,-29.229.476,1.544.154,-16.643.192,-26.243.863,13.505.427,Bad"
"15.567.282,-43.297.896,-34.743.083,20.020.463,-2.139.389,-42.861.276,-16.182.401,Bad"
"31.374.507,-10.815.246,-21.064.358,1.480.504,2.281.145,-49.429.145,29.575.372,Bad"
"-17.791.561,-29.043.987,-913.499,86.163.056,-17.354.944,-8.533.111,25.909.595,Bad"
"37.643.168,-28.707.552,-26.466.863,-12.056.594,-8.896.936,-9.629.134,30.577.235,Bad"
"-18.385.264,-48.180.227,-10.248.008,15.566.391,-58.476.043,-40.948.465,-18.463.076,Bad"
"-16.228.365,11.351.792,-8.699.303,12.073.764,21.130.586,-19.293.717,36.400.762,Bad"
"-48.404.217,-25.098.455,113.275,20.524.547,-2.686.611,14.012.592,141.851,Bad"
"-27.880.201,-4.307.412,-6.602.293,16.126.051,-23.270.545,5.527.786,-5.511.868,Bad"
"-89.741.284,-32.379.985,-14.604.597,1.333.378,-30.790.575,-5.743.352,-25.983.714,Bad"
"-285.968,-9.448.175,-95.614.046,15.642.506,-7.193.003,-19.590.655,18.485.476,Bad"
"10.095.627,-47.907.214,-14.336.226,16.731.011,-14.062.814,-3.602.721,-20.686.715,Bad"
"-15.156.406,-47.215.447,-23.490.784,17.877.535,-4.268.295,-30.819.833,-64.307.266,Bad"
"-53.372.207,-4.942.857,13.035.431,30.543.892,-5.704.038,17.863.365,-3.355.809,Bad"
"-40.230.117,-2.172.422,-98.349,18.840.262,69.035.697,-26.907.387,23.765.383,Bad"
"6.387.778,-45.010.033,-17.832.513,137.913,-32.205.398,-13.597.362,-16.393.161,Bad"
"-3.321.086,-2.076.605,11.040.315,14.336.648,-31.055.758,-10.717.643,15.651.543,Bad"
"-20.824.788,-3.430.321,-5.312.566,23.148.859,-27.768.922,-3.327.338,-96.464.485,Bad"
"-2.803.065,-10.575.533,-8.286.586,30.073.607,-72.731.596,-16.376.276,-1.613.995,Bad"
"-3.777.317,-37.135.887,49.618.813,285.419,-42.016.706,7.011.036,-2.270.498,Bad"
"-26.697.001,-4.162.479,-18.254.389,7.711.995,-29.410.586,21.644.114,33.518.124,Bad"
"-25.322.285,-3.843.339,-11.309.198,10.256.758,-41.893.485,-57.244.885,11.967.534,Bad"
"-28.689.444,-2.462.831,11.386.535,17.839.484,-36.990.974,2.856.353,-42.335.042,Bad"
"-17.856.137,-41.136.136,-23.357.918,21.504.323,-19.478.045,-25.555.558,-8.519.984,Bad"
"-14.849.039,-14.993.119,-45.837.814,20.818.725,17.882.423,-23.923.476,33.226.138,Bad"
"-36.886.916,-2.785.812,-1.854.604,2.100.907,-30.648.232,-11.505.511,10.520.272,Bad"
"-19.531.587,-18.931.531,-28.322.446,22.508.826,-28.919.227,-21.882.992,56.154.084,Bad"
"-5.222.853,-17.290.696,-40.995.863,35.155.115,-276.248,-3.781.734,-7.268.678,Bad"
"-10.997.462,-12.648.113,-37.015.367,14.750.031,44.690.093,-37.658.515,2.291.001,Bad"
"46.433.127,-37.541.804,-35.702.922,10.238.309,-17.674.593,-32.353.349,81.999.594,Bad"
"-25.076.532,-6.170.287,-33.500.407,11.397.952,-19.482.965,-11.924.673,44.330.697,Bad"
"-2.561.028,-25.910.482,-38.729.043,11.621.345,10.337.281,-2.755.309,36.109.588,Bad"
"-2.759.959,8.521.275,-27.817.569,68.659.794,-25.079.947,-10.528.065,45.596.347,Bad"
"-1.642.704,-11.025.137,-27.922.335,5.873.511,-1.759.369,-9.293.302,33.774.927,Bad"
"-28.359.072,-20.705.314,-81.880.057,1.790.817,13.431.932,-15.366.637,15.373.745,Bad"
"-41.893.945,-30.624.785,-40.517.998,17.567.407,-34.125.645,38.901.332,69.780.034,Bad"
"-10.626.726,-26.270.938,-23.248.863,12.291.102,-2.012.559,-23.774.236,1.025.352,Bad"
"-6.737.356,-13.400.587,-34.465.563,9.830.326,-4.377.781,7.559.121,10.270.809,Bad"
"-88.116.986,37.868.455,-18.371.809,1.295.202,-33.488.768,-16.513.587,30.107.799,Good"
"-8.135.309,-15.468.549,-2.189.572,12.817.774,-4.098.648,-18.675.152,1.330.764,Bad"
"-71.565.765,-15.324.582,-35.812.156,1.544.222,7.777.171,-24.400.172,19.521.301,Bad"
"-25.692.213,-38.543.102,-6.995.086,2.154.041,-42.639.995,-2.123.589,16.110.946,Bad"
"-3.276.472,-48.989.514,-11.830.168,15.654.181,-17.415.196,-40.866.378,26.143.355,Bad"
"-44.671.593,-22.197.006,-33.674.622,20.825.114,-15.118.147,92.124.574,9.515.049,Bad"
"-20.007.472,-94.401.443,-20.430.915,18.059.714,-10.491.486,-17.078.243,17.296.976,Bad"
"25.942.674,6.576.323,-1.204.853,18.307.489,-2.671.907,-15.375.009,13.806.165,Bad"
"-29.914.165,-7.697.789,10.744.197,32.404.144,-32.164.624,-5.201.729,-4.383.847,Bad"
"-28.920.453,-12.714.506,-43.762.708,8.850.742,-27.928.598,5.949.836,31.181.183,Bad"
"8.075.451,-33.751.154,-29.989.963,19.163.885,-20.013.564,-3.749.279,-53.178.155,Bad"
"-11.253.979,89.688.206,-32.639.542,10.809.765,-7.429.311,-34.099.638,43.712.435,Bad"
"-33.454.886,-13.687.098,23.246.528,10.893.624,-4.370.856,-12.748.783,42.956.746,Bad"
"-29.995.604,-13.524.705,-75.121.474,9.961.623,-22.954.755,-8.557.871,34.114.604,Bad"
"-32.995.849,-15.983.138,-732.085,25.702.815,-4.364.309,16.645.458,-22.393.319,Bad"
"2.221.424,-15.907.065,-19.806.609,2.737.153,-20.732.355,-10.303.391,1.637.185,Bad"
"-26.060.014,-19.370.654,-13.512.661,19.622.233,-31.717.937,-22.987.792,8.196.497,Bad"
"-36.795.434,-42.119.484,-49.882.584,23.332.105,-26.642.218,-32.788.472,21.855.626,Bad"
"-12.721.758,-29.784.615,-12.101.785,16.262.126,-8.512.792,-23.269.846,28.743.824,Bad"
"-26.776.664,-28.599.987,-20.716.417,11.736.431,-94.986.326,12.604.102,18.180.588,Bad"
"-18.576.723,-49.268.875,627.823,22.983.384,-37.234.166,-8.401.742,-25.903.744,Bad"
"40.219.623,-2.317.755,-43.399.305,23.399.935,8.218.857,-42.741.714,88.293.865,Bad"
"-9.543.331,53.283.605,-3.699.127,6.503.787,-11.493.201,-29.895.167,4.635.912,Bad"
"-49.861.172,-15.744.668,-15.904.438,127.027,-10.517.774,-41.908.975,19.577.082,Bad"
"-23.987.541,-7.848.093,-14.648.123,23.764.262,-32.121.696,-37.986.228,49.860.138,Bad"
"29.059.497,-23.150.375,-2.916.454,9.124.431,-55.563.295,-25.844.338,20.283.036,Bad"
"-17.514.393,-38.350.528,-326.895,9.482.336,-1.746.937,-13.382.366,3.890.161,Bad"
"-3.235.135,-15.044.682,-17.461.556,14.097.108,-17.593.973,-12.965.952,24.756.854,Bad"
"58.025.215,-18.200.082,-1.312.687,16.062.894,-15.152.094,-30.739.903,6.667.125,Bad"
"1.027.118,-35.796.995,-29.290.402,9.838.395,12.871.823,-38.203.015,15.035.052,Bad"
"1.150.786,-36.762.922,-40.810.685,12.238.836,-14.209.042,-4.233.681,43.509.707,Bad"
"-5.267.529,46.871.245,-1.922.815,90.252.656,71.221.665,-24.415.436,32.916.558,Bad"
"-8.951.301,-206.214,-8.182.103,14.011.796,-10.348.125,-1.174.674,78.981.316,Bad"
"-2.166.542,-28.437.974,-7.997.857,18.006.918,-12.342.767,-22.651.963,9.313.575,Bad"
"408.728,-8.233.898,-49.570.637,78.025.293,-23.758.285,-30.283.413,3.176.781,Bad"
"15.032.581,8.707.596,-18.596.494,4.093.896,-27.889.577,-3.359.477,30.655.503,Bad"
"-16.759.576,-11.430.792,-4.266.771,24.220.266,-30.942.123,-2.739.119,12.323.896,Bad"
"-37.483.842,-26.928.759,-7.262.035,18.029.102,-19.550.434,-20.519.326,12.977.121,Bad"
"-3.442.868,-96.521.527,-1.281.047,17.540.281,-37.998.993,7.560.408,1.252.129,Bad"
"109.436.974,-19.482.913,-28.878.715,16.810.663,-37.148.666,-2.913.254,5.704.858,Bad"
"19.295.943,-4.032.138,-38.564.143,7.868.051,-4.268.473,-14.316.425,-19.787.502,Bad"
"-3.979.529,7.494.977,-12.070.942,23.610.103,-22.809.355,-32.947.028,2.266.039,Bad"
"-429.057,-79.589.665,9.743.228,25.270.157,-22.847.958,60.888.585,1.016.121,Bad"
"-4.492.109,62.835.413,-9.250.861,17.862.853,-19.392.257,17.109.632,28.364.327,Bad"
"-48.456.055,-26.140.714,-21.581.695,12.597.072,-7.152.306,-39.939.482,9.483.226,Bad"
"-12.896.823,-2.838.482,-21.415.565,7.381.584,-28.404.171,-44.716.075,84.745.526,Bad"
"-17.678.412,-35.563.946,-27.002.952,14.994.419,-4.455.536,-11.480.331,1.680.353,Bad"
"-11.678.871,12.639.748,-9.934.219,18.292.929,20.200.032,-20.214.355,21.529.298,Bad"
"-17.007.544,-17.628.996,-16.780.859,12.937.584,-13.689.079,-16.310.952,21.319.296,Bad"
"-33.668.344,-31.231.196,-8.773.663,5.253.063,-46.317.267,27.192.752,12.328.355,Bad"
"-33.050.313,-35.109.463,-16.297.655,92.409.307,-4.322.455,2.218.878,77.989.817,Bad"
"-19.351.009,-27.117.008,-9.307.334,16.694.779,-65.474.886,-27.858.694,22.484.846,Bad"
"-30.997.713,-4.221.509,-17.513.151,21.955.159,-32.496.579,-29.784.162,27.510.202,Bad"
"-42.904.043,-47.546.062,-34.560.053,10.727.742,-39.967.902,10.996.168,2.392.864,Bad"
"-18.217.489,-33.132.374,-4.160.363,6.874.093,-10.953.931,-13.107.469,48.177.156,Bad"
"47.803.465,15.507.487,-2.039.751,6.729.223,1.121.184,-46.129.856,448.849,Bad"
"-20.234.923,-18.348.312,-5.092.426,20.222.247,-3.327.453,-5.868.066,10.675.604,Bad"
"-19.040.488,-52.099.234,-9.074.421,1.680.311,56.249.255,-21.168.194,23.085.356,Bad"
"13.182.889,-1.022.427,-24.707.239,19.997.603,-2.187.705,-2.561.418,-56.069.907,Bad"
"23.045.138,73.499.334,-42.553.763,-12.534.332,11.591.654,-1.482.861,59.272.904,Bad"
"-47.507.195,-21.860.387,32.005.432,18.943.212,-32.682.595,23.825.238,99.180.967,Bad"
"-48.076.993,-49.332.805,-38.538.465,20.124.514,-15.163.392,-4.795.906,-11.274.389,Bad"
"-39.588.902,-18.822.827,-20.481.825,11.330.012,-4.754.295,87.160.695,23.095.887,Bad"
"-19.441.118,-26.388.347,-26.161.299,18.857.316,-12.838.745,-17.521.021,27.828.404,Bad"
"31.717.565,-12.087.786,-3.667.027,-13.652.846,-8.843.894,-21.679.227,4.257.097,Bad"
"-15.440.816,-326.785,-20.443.592,10.061.764,-20.510.013,5.684.605,11.608.882,Bad"
"114.003.666,-27.395.008,-23.492.832,17.025.647,-24.848.537,-28.068.118,-9.241.226,Bad"
"-14.330.925,-45.047.364,-26.797.516,10.997.306,-16.142.046,-3.297.599,95.643.914,Bad"
"-16.757.581,-67.158.544,-94.222.707,47.868.174,-7.160.503,-23.486.345,38.832.812,Bad"
"-13.188.102,-12.895.854,-2.593.272,16.462.361,-4.177.696,-20.903.258,19.549.071,Bad"
"27.761.546,-4.390.897,-12.542.796,10.486.838,-279.531,-2.333.411,2.015.434,Bad"
"-28.419.194,16.128.101,-1.624.059,18.881.736,512.039,-15.354.222,36.247.444,Bad"
"-11.687.652,-3.461.732,-16.658.955,2.369.297,-34.956.044,-28.870.053,-83.279.794,Bad"
"-5.524.144,-11.500.926,-2.079.017,1.461.157,-22.461.069,13.854.266,39.247.358,Bad"
"13.975.413,-1.912.119,-3.365.001,10.081.681,15.483.862,-28.046.193,12.483.585,Bad"
"-3.712.094,-15.516.374,-7.224.042,13.403.156,-17.407.408,-24.415.655,6.626.309,Bad"
"22.696.064,-13.418.117,-5.424.223,12.210.126,-51.638.526,-3.152.467,15.336.334,Bad"
"-33.201.625,13.147.662,-20.164.154,20.446.718,-8.359.034,-25.707.986,41.508.565,Bad"
"-12.527.384,-12.691.454,-2.836.246,13.873.824,23.520.615,-36.106.713,32.412.822,Bad"
"-31.906.557,-97.630.084,53.532.815,13.665.438,-19.067.788,-13.328.465,22.541.375,Bad"
"5.925.128,-6.764.077,-5.372.321,55.994.576,-57.819.104,-13.138.115,42.447.224,Bad"
"-19.691.209,-38.129.514,-7.972.801,21.352.396,-29.687.102,-20.944.004,9.779.467,Bad"
"-19.749.167,-11.568.946,-2.656.507,17.360.371,-15.177.687,-17.898.628,2.177.278,Bad"
"-32.471.223,10.713.837,320.982,17.783.451,18.789.374,-20.916.047,26.516.123,Bad"
"-13.389.611,-23.520.732,-23.616.757,64.124.626,-22.405.114,661.093,20.517.426,Bad"
"-5.208.944,-31.496.332,-4.460.275,10.456.026,-27.420.874,-19.449.745,17.632.291,Bad"
"-2.644.284,16.339.122,-98.776.054,5.589.371,-13.518.564,-83.190.596,5.117.668,Bad"
"-4.077.906,-485.884,-13.357.826,17.129.176,-2.441.825,-12.494.463,-16.083.136,Bad"
"-2.316.547,-18.137.361,20.059.338,16.309.447,-2.173.613,-58.532.465,10.271.536,Bad"
"-23.403.249,22.267.811,-46.023.735,17.003.483,-5.279.462,-5.666.716,32.553.585,Bad"
"-18.943.317,-20.914.614,-21.204.917,25.654.268,-19.001.552,-33.116.584,14.986.049,Bad"
"-6.044.713,-64.809.375,-11.695.535,10.023.474,-2.798.453,-16.338.651,-16.159.589,Bad"
"-4.580.738,-21.225.689,16.816.283,28.295.588,-20.707.674,25.261.176,46.321.714,Bad"
"-21.377.191,-9.498.907,-10.706.344,12.974.969,-13.736.203,-2.412.949,2.105.664,Bad"
"33.336.759,-33.362.873,-55.642.467,5.454.055,-11.156.058,-37.092.738,17.920.239,Bad"
"-49.089.757,-3.493.139,-12.922.609,15.666.426,-38.603.516,-14.159.603,-10.191.321,Bad"
"394.978,-41.274.796,-33.983.984,86.773.616,-28.773.193,-5.452.263,-93.678.993,Bad"
"-28.625.855,-441.886,-28.289.964,24.567.862,-32.096.493,-11.618.656,-40.918.067,Bad"
"-789.238,-40.575.666,-2.510.756,23.429.782,-17.168.056,-27.177.048,-15.501.959,Bad"
"-5.009.619,-17.003.853,-17.377.791,1.292.007,-4.212.254,-16.857.063,33.256.571,Bad"
"-30.559.843,-4.133.568,-14.209.794,21.423.507,-29.352.574,-56.116.116,-10.685.709,Bad"
"2.443.002,-24.073.431,-4.681.124,3.956.681,-13.145.161,-47.732.406,39.595.857,Bad"
"-4.291.256,-32.804.976,33.283.687,28.712.184,-4.025.588,-6.418.894,-11.070.292,Bad"
"54.244.626,-15.372.144,-3.128.692,789.821,31.900.543,-346.288,25.986.528,Bad"
"-324.621,-3.136.125,-16.252.676,18.652.334,-15.752.805,-22.728.677,11.318.142,Bad"
"-2.688.505,-26.153.243,-46.124.887,11.708.838,-37.016.816,-9.007.245,16.560.446,Bad"
"-14.068.802,-34.752.767,-42.682.858,14.747.229,42.847.183,-37.289.176,11.579.615,Bad"
"66.503.274,-45.768.776,-24.136.264,11.819.916,-30.428.631,-21.665.888,-44.724.903,Bad"
"-15.823.337,-88.086.635,-99.489.707,19.782.205,-34.689.238,-5.329.567,28.686.097,Bad"
"-6.312.065,-29.217.377,-36.491.578,8.492.246,-12.026.304,-9.928.078,19.020.171,Bad"
"-14.336.718,3.644.644,-1.120.111,20.342.298,20.089.768,-301.834,18.217.263,Bad"
"15.703.379,-12.971.432,-3.674.572,10.703.886,-27.748.072,-1.456.331,10.191.579,Bad"
"5.116.864,-4.967.715,-18.706.808,14.081.807,-4.665.353,-102.008,-13.619.524,Bad"
"-56.909.847,-79.978.424,-17.926.788,20.358.446,-28.914.013,11.063.485,21.743.937,Bad"
"-38.795.862,-42.297.444,-20.047.478,75.412.005,-4.293.095,16.508.642,13.488.933,Bad"
"-14.315.655,-16.118.598,-4.469.399,93.660.736,-10.235.254,-25.514.467,380.277,Bad"
"-18.683.407,-4.937.266,-14.263.232,19.477.388,-43.760.433,20.507.172,-18.505.901,Bad"
"-15.815.331,-22.027.915,-33.440.309,25.368.829,-21.424.515,-29.924.397,7.658.615,Bad"
"-17.469.051,-22.912.865,-339.643,37.477.973,-1.184.647,-10.552.839,27.980.778,Bad"
"-9.065.025,1.063.481,-12.247.262,15.813.564,10.059.434,-26.147.892,30.157.828,Bad"
"-28.256.729,5.320.063,-31.274.256,15.804.769,-11.694.436,-13.040.799,27.633.984,Bad"
"-10.752.031,2.491.003,-31.175.404,16.991.762,-2.253.256,-27.241.926,29.081.945,Bad"
"15.492.935,-5.631.762,-41.166.825,1.032.161,-12.688.708,-39.984.372,-50.958.085,Bad"
"-6.190.992,-39.338.427,74.656.284,18.077.389,-22.704.031,-28.012.598,-19.950.775,Bad"
"-19.497.926,-58.419.394,16.443.042,17.796.841,-15.244.942,6.498.559,11.036.876,Bad"
"11.463.819,-4.193.514,-37.209.065,20.190.423,-37.020.094,-22.040.179,-14.619.536,Bad"
"26.873.043,-7.410.923,-41.358.733,-65.287.435,-89.824.754,-28.701.344,4.101.506,Bad"
"35.381.877,-10.351.664,-34.655.108,33.371.654,-13.113.749,-20.042.317,3.835.897,Bad"
"-44.214.177,-33.975.108,-19.804.517,1.233.745,-28.308.344,19.530.151,17.094.601,Bad"
"18.184.786,-21.426.535,-33.947.837,11.934.077,23.297.658,-30.278.614,11.137.506,Bad"
"-31.308.618,-59.965.146,-2.059.173,2.130.852,6.134.313,-22.456.946,27.874.587,Bad"
"-17.882.947,35.044.533,-24.128.883,17.130.615,-52.478.653,-36.451.187,38.531.067,Bad"
"9.687.686,3.221.895,-29.506.583,13.091.718,37.811.458,-4.081.401,2.571.968,Bad"
"-12.319.745,-24.909.368,-9.977.197,16.195.819,-19.371.964,-26.133.916,4.341.254,Bad"
"-29.632.034,39.701.587,-5.276.933,23.436.692,-11.242.568,-16.861.984,19.810.935,Bad"
"-14.894.233,6.442.225,-12.029.568,12.904.407,-12.095.488,-2.298.659,3.139.349,Bad"
"-13.669.009,9.601.083,72.430.456,8.412.305,-39.492.059,21.167.915,33.713.946,Bad"
"-31.315.231,-9.795.012,-9.602.581,22.966.864,-6.704.527,-25.215.397,12.041.439,Bad"
"-27.286.499,-54.517.394,-12.793.808,17.814.043,-16.638.353,-29.541.473,29.521.437,Bad"
"-14.518.726,9.611.256,-17.470.945,-25.795.117,-6.634.411,-864.577,5.295.558,Bad"
"12.429.966,-22.611.613,-38.534.539,16.866.994,-25.479.355,-27.522.812,-22.024.083,Bad"
"-1.441.531,-39.397.068,-26.951.237,19.086.478,-29.333.503,-11.714.907,-36.502.177,Bad"
"10.894.555,-19.993.519,-2.292.683,98.268.116,-23.657.618,-35.351.727,13.254.753,Bad"
"2.390.576,-20.002,-38.362.207,18.326.907,-17.984.557,-27.926.238,43.743.682,Bad"
"-15.333.185,17.022.039,-7.208.047,78.759.193,-21.178.796,11.975.854,4.062.132,Bad"
"24.257.624,-35.401.378,-38.098.738,5.088.968,-25.607.646,-38.454.459,13.309.897,Bad"
"-14.580.635,-85.989.445,-81.313.366,1.595.782,-35.620.623,48.165.178,1.033.395,Bad"
"-20.388.033,-14.834.433,-1.125.472,23.761.148,-65.680.975,-34.791.877,9.130.651,Bad"
"-27.852.752,-3.058.086,-11.641.874,22.622.995,-51.144.767,-15.903.597,-17.103.264,Bad"
"1.227.728,-44.092.827,-30.764.823,16.493.068,-23.202.632,-4.786.283,-9.274.846,Bad"
"52.925.205,-27.515.957,-33.539.007,85.195.845,-1.594.829,-19.287.056,9.033.411,Bad"
"-33.971.648,1.317.608,-15.339.847,11.717.292,3.900.196,-11.990.905,50.250.263,Bad"
"-31.857.045,-1.216.751,-7.699.971,20.542.808,15.399.677,-881.068,16.639.363,Bad"
"16.554.497,-40.598.164,-23.716.586,10.957.325,-25.386.646,-1.421.959,-2.733.279,Bad"
"26.489.358,-21.277.337,-2.466.737,56.590.747,-10.502.452,-27.692.761,17.776.755,Bad"
"-29.689.791,-27.551.703,-12.935.447,29.437.244,-21.578.507,-41.284.285,-53.095.484,Bad"
"-32.810.378,-8.204.639,-10.042.487,26.842.554,-29.681.998,5.238.826,6.359.499,Bad"
"31.845.742,-6.857.242,-2.168.871,10.351.424,-1.858.693,-25.652.025,15.421.536,Bad"
"-13.721.731,11.405.447,-10.554.193,7.226.423,10.235.443,-32.568.254,5.238.281,Bad"
"-35.003.347,-33.331.416,-17.782.253,25.207.562,-45.448.513,19.337.487,-99.022.853,Bad"
"-16.554.725,-54.985.327,-1.636.845,12.133.232,-35.547.704,-31.079.757,27.720.668,Bad"
"-3.924.866,11.530.443,69.947.034,24.244.752,-25.419.044,35.921.744,16.924.632,Bad"
"-1.752.532,-44.796.333,-33.043.306,1.505.998,-24.812.036,-1.142.879,76.238.567,Bad"
"-64.461.726,35.318.913,-5.757.252,149.898,-4.501.595,-36.091.194,35.544.837,Bad"
"26.706.433,-37.540.662,-5.210.441,7.139.722,-40.539.927,-2.487.963,-6.401.396,Bad"
"3.470.788,-18.111.705,-37.140.884,-24.162.818,-13.320.112,-2.498.505,39.981.463,Bad"
"-1.188.775,14.905.814,-37.302.675,11.154.841,9.387.301,-52.602.977,4.360.125,Bad"
"12.584.794,-3.335.136,-12.338.754,2.832.177,-287.511,-28.533.409,7.266.271,Bad"
"19.667.087,-13.778.044,93.505.734,14.199.656,-19.264.898,-13.447.808,-14.421.551,Bad"
"-20.632.846,-17.960.099,-67.427.444,23.539.038,-18.856.136,-12.839.668,44.601.706,Bad"
"-4.180.372,10.802.288,19.077.792,1.251.661,-11.518.781,11.383.582,30.424.309,Bad"
"-2.195.342,-28.296.757,11.246.653,27.853.582,-3.024.776,-22.357.569,-15.846.279,Bad"
"-29.367.402,-27.764.118,-26.815.708,13.444.419,-31.565.068,-11.745.199,14.280.838,Bad"
"-16.357.946,-18.211.652,-27.205.245,15.700.991,-37.691.385,-2.358.067,24.672.549,Bad"
"-3.870.121,-4.803.344,-13.919.504,21.528.811,-19.618.253,-11.244.416,-73.202.264,Bad"
"46.020.156,-4.199.297,-35.222.945,18.448.843,-20.918.891,-2.151.397,-16.719.841,Bad"
"-4.303.904,26.717.968,-69.157.577,1.074.445,-7.909.921,17.095.362,55.200.133,Bad"
"-29.001.524,-23.346.205,-10.389.202,2.247.217,-30.898.309,-97.022.414,46.060.112,Bad"
"-10.084.906,-1.136.783,-20.463.116,119.178,8.697.584,-20.164.897,29.715.502,Bad"
"-19.198.338,-50.119.243,-3.305.171,23.551.817,-36.974.876,-36.458.201,-24.511.373,Bad"
"-28.442.223,-13.006.748,-20.048.983,14.637.723,-2.863.059,-11.255.276,21.725.502,Bad"
"19.110.949,-15.213.223,-4.266.168,11.551.439,9.787.527,-4.286.887,17.298.753,Bad"
"-1.490.493,-61.759.484,-14.133.772,10.448.029,-80.943.364,-13.249.245,21.745.293,Bad"
"12.383.453,-245.057,-23.997.364,11.824.266,8.454.918,-5.121.961,9.213.864,Bad"
"-20.820.024,-45.585.666,-34.023.466,17.413.762,-4.756.235,-18.377.194,29.179.373,Bad"
"-33.642.406,-5.895.249,-17.629.099,13.306.023,-31.523.573,-40.301.403,29.499.094,Bad"
"-6.779.262,-24.633.923,-24.479.122,13.962.866,-2.046.622,-3.172.591,10.063.466,Bad"
"-43.080.134,-18.080.853,14.347.091,27.094.967,-98.969.847,18.958.636,33.961.278,Bad"
"-31.646.316,-2.514.491,-7.403.688,20.738.037,-3.765.151,-12.470.231,19.201.517,Bad"
"-26.971.767,27.046.034,-10.905.008,12.407.839,74.186.647,-12.986.699,34.847.417,Bad"
"-31.118.102,-19.548.837,42.609.698,1.268.842,-1.928.143,11.129.926,17.638.446,Bad"
"-5.209.122,-94.922.435,-207.333,17.952.579,-29.705.536,89.071.304,22.440.388,Bad"
"-10.937.101,-55.246.644,-23.415.313,22.363.029,-12.063.453,-30.303.984,-14.085.964,Bad"
"11.963.642,-10.751.567,-20.072.598,12.070.242,12.779.125,-2.845.512,19.635.166,Bad"
"-39.818.377,-22.655.797,-11.489.646,23.618.608,-5.269.464,14.329.959,5.005.665,Bad"
"-6.037,-8.398.309,-11.350.774,10.487.313,-3.423.086,-23.049.405,2.017.291,Bad"
"-25.628.977,-25.828.304,-142.608,16.562.321,-4.082.944,5.020.646,6.609.062,Bad"
"-7.608.237,-12.558.867,-19.316.274,71.991.104,-19.389.228,-13.555.281,236.378,Bad"
"33.330.658,-17.531.111,-1.994.584,16.070.986,-32.020.974,-22.859.852,2.849.557,Bad"
"-10.809.041,-19.435.111,-24.725.235,12.193.167,-18.665.562,-30.025.308,2.462.982,Bad"
"-3.436.877,27.463.484,17.314.458,16.728.047,-18.351.312,49.944.615,2.9023,Bad"
"-6.756.245,-5.694.281,-22.046.692,26.953.604,-27.665.966,-18.380.524,-35.295.594,Bad"
"-17.723.688,-25.047.946,-15.442.308,11.232.138,-10.168.712,-18.143.178,13.563.741,Bad"
"-26.455.548,-87.096.745,-16.080.021,23.742.623,-9.884.509,-27.240.403,14.707.094,Bad"
"-2.273.757,-1.961.228,-19.066.468,18.053.993,-54.894.767,1.959.399,23.650.847,Bad"
"-34.680.608,-29.434.407,-23.357.975,1.761.647,-14.996.005,-31.185.303,49.811.613,Bad"
"-3.122.383,-14.654.627,-4.869.873,1.044.157,-3.603.593,20.268.941,29.572.446,Bad"
"18.426.114,-4.341.643,-27.222.054,7.055.333,-6.140.389,-21.493.056,-28.547.904,Bad"
"-11.107.882,-39.537.108,-11.373.807,16.619.984,-15.290.861,-5.726.359,-5.602.693,Bad"
"-29.947.786,1.675.712,-18.864.688,30.262.125,3.237.099,-314.733,22.142.541,Bad"
"-23.823.999,-9.899.615,-2.250.581,1.644.647,-2.991.118,-27.699.351,12.675.612,Bad"
"-2.741.349,-10.970.361,-5.154.905,20.072.691,-32.065.012,9.178.239,13.279.736,Bad"
"-19.997.009,23.949.848,-26.649.184,23.785.808,8.767.742,-37.115.612,25.025.113,Bad"
"16.263.671,-19.844.072,-24.162.924,9.906.742,-21.757.207,-24.141.114,4.944.197,Bad"
"-57.434.875,-15.075.675,-33.034.458,16.870.341,17.127.231,-3.907.859,22.430.863,Bad"
"-45.370.708,17.618.337,18.922.698,21.736.827,-37.209.969,28.140.252,9.622.923,Bad"
"23.743.582,-26.871.858,-11.809.223,14.848.117,-3.386.882,-31.228.273,-16.606.593,Bad"
"-313.794,-31.036.294,-14.830.813,17.537.435,-34.851.332,-11.406.531,12.530.622,Bad"
"284.697,-36.338.274,-21.323.946,18.226.453,-18.963.618,-28.471.396,-596.067,Bad"
"-14.029.964,-25.801.344,-32.434.688,21.242.557,-29.240.484,-36.822.447,-62.388.983,Bad"
"-21.170.893,6.501.973,-10.739.083,802.206,5.341.732,-71.796.685,44.641.604,Bad"
